יידיש|עברית|גרויס|פארשפארט|שטאפל
רוי:אפריל|אפריל|1501||
רוי:סביבה|סביבה|1508||
רוי:כ' אב|כ' באב|1511||1
רוי:ספירה|ספירה|1511||
רוי:ריטשמאנד|ריצ'מונד (פירושונים)|1511||
רוי:ליד|שיר|1512||
רוי:פופיק|טבור|1515||
"רוי:י""ז אייר"|"י""ז באייר"|1518||1
"רוי:יארן ג'ת""ר - ג'תרצ""ט"|"שנים עבריות ג'ת""ר - ג'תרצ""ט"|1519||1
רוי:אקטיאר|שחקן|1522||
רוי:טורקיז (קאליר)|טורקיז (צבע)|1522||
רוי:טשעלסי|צ'לסי (מנהטן)|1524||
"רוי:י""ח תמוז"|"י""ח בתמוז"|1528||1
רוי:יידישע קולטור|יידישע קולטור|1528||
"רוי:י""ב תשרי"|"י""ב בתשרי"|1530||1
רוי:80 (נומער)|80 (מספר)|1532||1
"רוי:י""ח ניסן"|"י""ח בניסן"|1535||1
רוי:סדר עולם זוטא|סדר עולם זוטא|1540||
רוי:ו' אלול|ו' באלול|1541||1
"רוי:יארן ב' אלפים - ב'צ""ט"|"שנים עבריות ב' אלפים - ב'צ""ט"|1543||1
רוי:אינגבער-וואסער|ג'ינג'ר אייל|1543||
"רוי:כ""ג ניסן"|"כ""ג בניסן"|1544||1
רוי:ל' אדר א'|ל' באדר א'|1545||1
רוי:יידיש-וויקיפעדיע|ויקיפדיה היידית|1551||
רוי:עקספלאראציע|מגלה ארצות|1554||
רוי:17 (נומער)|17 (מספר)|1560||1
רוי:יוסף לעבנשטיין|יוסף לוינשטיין (פוליטיקאי)|1566||
רוי:פארע|אד|1566||
רוי:רבי דוד שוסטאל|דוד שוסטל|1570||
רוי:שטארקייט|כוח|1571||
רוי:22 (נומער)|22 (מספר)|1574||1
רוי:בילד|תמונה|1574||
רוי:יוני|יוני|1581||
רוי:קאנאדא|קאנדה|1582||
"רוי:י""ד אדר א'"|"י""ד באדר א'"|1588||1
רוי:גאולה|גאולה (פירושונים)|1590||
רוי:טיין|טיין|1593||
רוי:יהושע (באדייטן)|יהושע|1593||
רוי:מנשה|מנשה (פירושונים)|1593||
רוי:רבי יהושע (באדייטן)|יהושע|1593||
רוי:ילקוט המכירי|ילקוט המכירי|1595||
רוי:עץ חיים (באדייטן)|ישיבת עץ חיים (פירושונים)|1595||
"רוי:י""א אב"|"י""א באב"|1599||1
רוי:זומערשפרענקלעך|נמש|1603||
רוי:400 (נומער)|400 (מספר)|1607||1
רוי:דרום-אייראפע|דרום אירופה|1613||
רוי:סעפטעמבער|ספטמבר|1613||
רוי:ב' תמוז|ב' בתמוז|1615||1
"רוי:י""ט תשרי"|"י""ט בתשרי"|1615||1
"רוי:כ""ו אייר"|"כ""ו באייר"|1622||1
רוי:לאנדאן ברידזש סטאנציע|תחנת גשר לונדון|1624||
"רוי:ט""ז כסלו"|"ט""ז בכסלו"|1627||1
רוי:שלום (צייטונג)|שלום (כתב עת)|1632||
"רוי:כ""ד אב"|"כ""ד באב"|1634||1
רוי:מאי|מאי|1637||
"רוי:ה'תשפ""ו"|"ה'תשפ""ו"|1640||1
רוי:קאלטקייט|קור (תחושה)|1645||
רוי:ז' תמוז|ז' בתמוז|1649||1
"רוי:כ""ב תמוז"|"כ""ב בתמוז"|1649||1
רוי:ווען (פארמיטל)|מסחרית|1651||
רוי:תורה עניטיים|Torah any time|1653||
רוי:אומארגאנישע כעמיע|כימיה אי-אורגנית|1657||
רוי:קאלומבוס|קולומבוס (פירושונים)|1660||
רוי:כעמיקאל|כימיקל|1664||
רוי:פאפירענער טיגער|נמר של נייר|1673||
רוי:טשילענישע פעזא|פסו צ'יליאני|1676||
רוי:רבי אלעאי|רבי אלעאי (תנא)|1679||
רוי:ד' סיון|ד' בסיוון|1683||1
רוי:קרוינבלעטל|עלה כותרת|1685||
רוי:200 (נומער)|200 (מספר)|1687||1
רוי:ד' אב|ד' באב|1687||1
"רוי:כ""ד ניסן"|"כ""ד בניסן"|1690||1
רוי:כוש (זון פון חם)|כוש בן חם|1699||
"רוי:י""ג כסלו"|"י""ג בכסלו"|1705||1
"רוי:יארן ג'ת""ש - ג'תשצ""ט"|"שנים עבריות ג'ת""ש - ג'תשצ""ט"|1706||1
"רוי:ט""ו אדר א'"|"ט""ו באדר א'"|1710||1
"רוי:ה'תשצ""ג"|"ה'תשצ""ג"|1716||1
רוי:סעמיהאלי|סמיהאלי|1717||
"רוי:כ""ה ניסן"|"כ""ה בניסן"|1719||1
רוי:קאפ|ראש|1719||
