יידיש|עברית|גרויס|פארשפארט|שטאפל
רוי:5טן דעצעמבער|5 בדצמבר|7235||1
רוי:מערב זייט|העולם המערבי|7235||
רוי:ראדיא גא גא|Radio Ga Ga|7238|1|
רוי:27סטן מערץ|27 במרץ|7239||1
רוי:בעזאנסאן|בזאנסון|7239||
רוי:מנחם מענדל משי זהב|מנחם מנדל משי זהב|7239||
רוי:האמסטער|אוגרים|7241||
רוי:קסענאן|קסנון|7241||
רוי:אמת|אמת|7246||
רוי:גאז קאמער|תא גזים|7246||
רוי:לייב יפה|אריה לייב יפה|7246||
רוי:קעראמיק|חומר קרמי|7246||
"רוי:ה'תשנ""ד"|"ה'תשנ""ד"|7248||1
"רוי:ה'תרצ""ט"|"ה'תרצ""ט"|7250||1
רוי:יקנעם-כפר יהושע באן סטאנציע|תחנת הרכבת יקנעם – כפר יהושע|7250||
רוי:רבי אליעזר סילווער|אליעזר סילבר|7254||
רוי:יוסי בן יוחנן איש ירושלים|יוסי בן יוחנן|7257||
רוי:גאפל-הייבער|מלגזה|7258||
רוי:קול קורא|קול קורא|7260||
רוי:15טן אקטאבער|15 באוקטובר|7262||1
רוי:קאנבערא|קנברה|7263||
רוי:רבי נפתלי האלבערשטאם (טשאקאווע)|נפתלי הלברשטאם (ירושלים)|7264||
רוי:בערי וועבער|בערי וובר|7265||
רוי:מגן אברהם|מגן אברהם|7272||
רוי:שרגא פייוויש האגער (א)|שרגא פייבוש הגר (זלישטשיק)|7272||
רוי:סטראנטיום|סטרונציום|7275||
רוי:6טן סעפטעמבער|6 בספטמבר|7276||1
רוי:פיטער פאנדא|פיטר פונדה|7279|1|
רוי:קליידונג|ביגוד|7280||
רוי:אמעריקאנער מוזעאום פון נאטירלעכער היסטאריע|המוזיאון האמריקאי לתולדות הטבע|7282||
רוי:אהובה תומר|אהובה תומר|7283||
רוי:טראטואר|מדרכה|7283||
רוי:אדר א'|אדר א'|7285||
רוי:28סטן נאוועמבער|28 בנובמבר|7287||1
רוי:31סטן מערץ|31 במרץ|7291||1
רוי:סאסקאטשעוואן|ססקצ'ואן|7295||
רוי:פונדאמענטאליזם|פונדמנטליזם|7295||
רוי:29סטן מאי|29 במאי|7297||1
רוי:אזשאראוו|אוז'רוב|7297||
רוי:28סטן אפריל|28 באפריל|7298||1
רוי:פרשת נח|פרשת נח|7299||
רוי:געדרוקטער שטראמקרייז|מעגל מודפס|7303||
רוי:אברהם ווערדיגער|אברהם ורדיגר|7304||
"רוי:ה'תשפ""א"|"ה'תשפ""א"|7306||1
רוי:געמיינדע|קהילה|7307||
רוי:טאבעלע|טבלה|7309||
רוי:רבי שלמה זלמן ליפשיץ|שלמה זלמן ליפשיץ|7310||
רוי:אברהם רובינשטיין|אברהם רובינשטיין|7313||
רוי:רבי סיני האלבערשטאם|רבי סיני הלברשטאם|7315||
רוי:גיחון קוואל|גיחון|7316||
רוי:רבי יעקב הורוויץ (מעליץ)|יעקב הורוביץ (מעליץ)|7317||
רוי:רבי שמואל צבי הורוויץ|שמואל צבי הורוביץ|7317||
רוי:פלאנץ|צומח|7319||
רוי:ראובן אהרנאוויטש|ראובן אהרונוביץ'|7319||
רוי:4טן אויגוסט|4 באוגוסט|7320||1
רוי:שלום עליכם (פיוט)|שלום עליכם (פיוט)|7323||
רוי:בראנפן|אלכוהול מזוקק|7329||
רוי:קעמעטשע|קמצ'ה|7331||
רוי:לי קוואן יו|לי קואן יו|7334||
רוי:12טן דעצעמבער|12 בדצמבר|7336||1
רוי:18טן אויגוסט|18 באוגוסט|7336||1
רוי:פרשת הקרבנות|פרשת הקורבנות|7337||
רוי:4טן סעפטעמבער|4 בספטמבר|7338||1
רוי:רבי יהודה צדקה|יהודה צדקה|7339||
רוי:ראדאן|רדון|7340||
רוי:הימל|שמיים|7341||
רוי:פרשת בראשית|פרשת בראשית|7341||
רוי:13טן מערץ|13 במרץ|7343||1
רוי:21סטן סעפטעמבער|21 בספטמבר|7343||1
רוי:רבי משולם זוסיא טווערסקי|משולם זוסיא טברסקי|7345||
רוי:שטריך|ישר|7345||
רוי:רבי מנחם מענדיל האגער (קאסוב)|רבי מנחם מנדל הגר (קוסוב)|7346||
רוי:כמעלניק|חמיילניק|7350||
רוי:7טן אקטאבער|7 באוקטובר|7351||1
רוי:האנגול|הנגול|7351||
רוי:טאלאהאסי|טלהסי|7352||
רוי:בבא בן בוטא|בבא בן בוטא|7354||
רוי:קרית וויזשניץ|קריית ויז'ניץ|7354||
רוי:אסאם|אסאם|7355||
רוי:מעליץ|מיילץ|7355||
רוי:דער אלגעמיינער זשורנאל|אלגעמיינער זשורנאל|7356||
רוי:רבי יהודה משה דאנציגער|יהודה משה דנציגר|7358||
רוי:12טן אקטאבער|12 באוקטובר|7359||1
רוי:שווימען|שחייה|7360||
רוי:לאסלא סאבא|לאסלו סאבו|7362||
רוי:דאן ריקלס|דון ריקלס|7363|1|
רוי:פרשת ויגש|פרשת ויגש|7363||
רוי:תל אביב דיסטריקט|מחוז תל אביב|7372||
רוי:קינגסטאן אויף האל|קינגסטון על ההאל|7373||
רוי:איבערישער האלבאינזל|חצי האי האיברי|7376||
רוי:בלאדי מערי|בלאדי מרי|7376||
רוי:פאנעוועזש|פוניבז'|7376||
רוי:איגנאראנץ|בערות|7377||
רוי:מאנגאן|מנגן|7377||
רוי:האנגאר|האנגר|7379||
רוי:קאמעניץ|קמניץ (בלארוס)|7379||
רוי:איזמיר|איזמיר|7380||
רוי:מאיר רובינשטיין|מאיר רובינשטיין|7380||
רוי:קורצע דערציילונג|סיפור קצר|7381||
רוי:יוחנן כהן גדול|יוחנן כהן גדול|7382||
רוי:שותפות|שותפות|7384||
רוי:אבישג פון שונם|אבישג השונמית|7387||
רוי:דע מוין|דה מוין|7387||
רוי:סנדק|סנדק (יהדות)|7388||
רוי:סקערנעוויץ (חסידות)|חסידות סקרנביץ|7390||
רוי:מידטאון מאנהעטן|מידטאון מנהטן|7391||
רוי:קאנוס|חרוט|7392||
רוי:רבי אברהם יעקב פרידמאן|אברהם יעקב פרידמן (הראשון)|7392||
רוי:לאנדאנער בארא פון ריטשמאנד אויפן טעמז|ריצ'מונד שעל התמזה|7393||
רוי:29סטן נאוועמבער|29 בנובמבר|7399||1
רוי:אבא מארי|אבא מרי הירחי|7404||
רוי:יהושע בן פרחיה|יהושע בן פרחיה|7405||
רוי:5טן אויגוסט|5 באוגוסט|7409||1
רוי:דאקטער|רופא|7409||
רוי:יהודה קופערמאן|יהודה קופרמן|7411||
רוי:ברייטאן|ברייטון|7412||
רוי:לב לאחים|לב לאחים|7414||
רוי:מאנומענט|מונומנט|7417||
רוי:וואלענציע|ולנסיה|7419||
רוי:רחל מכבי|רחל מכבי|7422||
רוי:עדגאר רייס באראז|אדגר רייס בורוז|7425||
רוי:חולון וואלפסאן באן סטאנציע|תחנת הרכבת חולון – וולפסון|7429||
רוי:הארנסטייפל|הורנוסטייפל|7431||
רוי:טעאריע פון משמעותדיקייט|תורת ההסתברות|7435||
רוי:אבנר בן נר|אבנר בן נר|7440||
רוי:דודו פישער|דודו פישר|7441||
רוי:ביאביא ראיאן|ביוביו (מחוז)|7442||
רוי:יוסף אפאטאשו|יוסף אופטושו|7445||
רוי:יותם המלך|יותם (מלך יהודה)|7447||
רוי:קאלעוו|נאג'קאלו|7447||
רוי:עבענזע|אבנזה|7448||
רוי:גריצע|גרוייץ|7451||
רוי:ווייסבוך פון פאספילד|הספר הלבן (1930)|7451||
רוי:קאליקסט דער דריטער|קליקסטוס השלישי|7453|1|
רוי:באליידיגונג|עלבון|7454||
רוי:שמואל שאול לוי|שמואל שאול לוי|7458||
רוי:28סטן פעברואר|28 בפברואר|7459||1
רוי:ליל|ליל|7462||
רוי:מאגאדישו|מוגדישו|7464||
רוי:רבי מרדכי רוקח|מרדכי רוקח|7464||
רוי:נחלת שמעון|נחלת שמעון|7465||
רוי:קאספישער ים|הים הכספי|7466||
רוי:אויער וואקס|שעוות אוזניים|7468||
רוי:שדה צופים|בצלאל רנשבורג|7470||
רוי:מעטראפאליטאן ליניע|קו מטרופוליטן|7474||
רוי:ספין|ספין תקשורתי|7474||
רוי:13טן נאוועמבער|13 בנובמבר|7479||1
רוי:רובע|רובה (עיר)|7480||
רוי:ווייסע בלוט צעל|תא דם לבן|7481||
רוי:פראנסוא אראגא|פרנסואה ז'אן דומיניק אראגו|7484||
רוי:פרשת מקץ|פרשת מקץ|7484||
רוי:רבי יהושע מנחם עהרנבערג|יהושע מנחם אהרנברג|7486||
רוי:7טן יולי|7 ביולי|7487||1
רוי:ברעכן|הקאה|7492||
רוי:רבי אליעזר זאב ראזנבוים|הרב אליעזר זאב רוזנבוים (נדבורנה)|7492||
רוי:רבי דויד שפירא|דוד שפירא (דינוב)|7493||
רוי:רבי בנימין יהושע זילבער|בנימין יהושע זילבר|7495||
רוי:קרב מגע|קרב מגע|7498||
רוי:אורטייל|גזר דין|7499||
רוי:וויענער ניישטאט|וינר נוישטאדט|7502||
רוי:הרב כאמוס נחיאסי|כמוס נחאיסי|7505||
רוי:נביאים|נביאים|7505||
רוי:26סטן סעפטעמבער|26 בספטמבר|7507||1
רוי:גראד (טעמפעראטור)|מעלת חום|7513||
רוי:רבי אלעזר אזכרי|אלעזר אזכרי|7513||
רוי:וואשקו דא גאמא|ואסקו דה גאמה|7514||
רוי:מה נשתנה|מה נשתנה|7514||
רוי:10טן מערץ|10 במרץ|7516||1
רוי:טאש|נירטש|7516||
רוי:רבי שלמה הכהן אהרנסאן|שלמה הכהן אהרונסון|7518||
רוי:היסטאגראם|היסטוגרמה|7523||
רוי:דיר יאסין|דיר יאסין|7525||
רוי:בערגל|גבעה|7526||
רוי:רבי אלעזר חסמא|רבי אלעזר חסמא|7526||
רוי:יהוד-מונוסון|יהוד-מונוסון|7527||
רוי:פרשת בלק|פרשת בלק|7528||
רוי:מרדכי נויגראשל|מרדכי נויגרשל|7529||
רוי:2טן יוני|2 ביוני|7530||1
רוי:וויטעבסק|ויטבסק|7534||
רוי:24סטן פעברואר|24 בפברואר|7535||1
רוי:8טן מאי|8 במאי|7537||1
רוי:18טן יאנואר|18 בינואר|7540||1
רוי:ישורון|ישורון (מאסף תורני)|7545||
רוי:סעקונדע|שנייה|7546||
רוי:שרייבן|כתיבה|7547||
רוי:דאקלאנדס לייכטע באן|הרכבת הקלה דוקלנדס|7548||
רוי:קאלכשטיין|אבן גיר|7551||
רוי:הצופה|הצופה|7552||
רוי:מאריא מאנטי|מריו מונטי|7552||
רוי:ב|ב|7555||1
רוי:וואונדער פרוכט|פרי הפלא|7555||
רוי:11טן מערץ|11 במרץ|7558||1
רוי:וואסילי גראסמאן|וסילי גרוסמן|7559||
רוי:מיינץ|מיינץ|7559||
רוי:היינעקען אינטערנאציאנאל|היינקן|7563||
רוי:רבי יחזקאל טויב|יחזקאל מקוזמיר|7564||
רוי:סאעמו טאיאדא|סואמו טויודה|7565||
רוי:רבי יצחק אייזיק שעהר|רבי יצחק אייזיק שר|7566||
רוי:שאלות ותשובות מן השמים|"שו""ת מן השמים"|7567||
רוי:16טן נאוועמבער|16 בנובמבר|7568||1
רוי:טרורא|טרורו (בריטניה)|7569||
רוי:שינאווא (חסידות)|חסידות שינאווא|7571||
רוי:דריווש דער ערשטער|דריווש הראשון|7572||
רוי:קאלערי|קלוריה|7572||
רוי:רבי ישראל יעקב פישער|ישראל יעקב פישר|7572||
רוי:רבי אריה לייב העלער|רבי אריה לייב הלר|7573||
רוי:דזשיקאוו|טרנובז'ג|7574||
רוי:רבי צבי אלימלך האלבערשטאם|צבי אלימלך הלברשטאם|7578||
רוי:טאשקענט|טשקנט|7581||
רוי:רוסלענדישער-יידישער קאנגרעס|הקונגרס היהודי-רוסי|7582||
רוי:אינטערנאציאנאלער פארבאנד פון אידישע גענעאלאגישע געזעלשאפטן|האיגוד הבין-לאומי של חברות לגנאלוגיה יהודית|7586||
רוי:רבי יחיאל יהושע ראבינאוויטש|יחיאל יהושע רבינוביץ|7589||
רוי:7טן פעברואר|7 בפברואר|7590||1
רוי:יעקב ראנד|יעקב רנד|7590||
רוי:9טן מאי|9 במאי|7591||1
רוי:בקהילה|בקהילה|7591||
רוי:כארדאטן|מיתרניים|7594||
"רוי:ה'תשכ""ז"|"ה'תשכ""ז"|7595||1
רוי:לאנדאנער בארא פון הארינגיי|הארינגיי|7596||
רוי:פרעגענענסי פארלוסט|הפלה טבעית|7600||
רוי:ביאכעמיע|ביוכימיה|7601||
רוי:נעקראפאל פון גיזע|הפירמידות בגיזה|7601||
רוי:25סטן יוני|25 ביוני|7603||1
רוי:2טן אקטאבער|2 באוקטובר|7607||1
רוי:28סטן סעפטעמבער|28 בספטמבר|7609||1
רוי:פיאדאר יעמעליאנענקא|פיודור ימליאננקו|7611|1|
רוי:13טן יולי|13 ביולי|7612||1
רוי:וועלט פאקטבוך|ספר העובדות העולמי|7612||
רוי:7טן אפריל|7 באפריל|7613||1
רוי:טריפה|טריפה|7616||
רוי:דעלטע|דלתה|7619||
רוי:רבי אליהו מני|אליהו מני (רב)|7619||
רוי:23סטן סעפטעמבער|23 בספטמבר|7620||1
רוי:Spanning tree protocol|פרוטוקול העץ הפורש|7621||
רוי:30סטן אפריל|30 באפריל|7622||1
רוי:30סטן יאנואר|30 בינואר|7622||1
רוי:מנחם מענדל פאמעראנץ|מנחם מנדל פומרנץ|7622||
רוי:אייזן עפאכע|תקופת הברזל|7626||
רוי:סעודה המפסקת|סעודה מפסקת|7626||
רוי:אויגוסט 28|28 באוגוסט|7628||1
רוי:רבי חיים שאול טויב|חיים שאול טאוב|7628||
רוי:מסכת גיטין|מסכת גיטין|7629||
רוי:מונקאטש (חסידות)|חסידות מונקאטש|7632||
רוי:13טן סעפטעמבער|13 בספטמבר|7633||1
רוי:רבי מיכל זילבער|מיכל זילבר|7633||
רוי:21סטן יולי|21 ביולי|7635||1
רוי:22סטן מאי|22 במאי|7635||1
רוי:אפיציעלע שפראך|שפה רשמית|7636||
רוי:זיידל ראוונער|זיידל רובנר|7636||
רוי:רבי נחום פארצאוויטש|רבי נחום פרצוביץ|7638||
רוי:שמואל מאלאווסקי|משפחת מלבסקי|7638||
רוי:שעיך|שייח'|7638||
רוי:11טן יאנואר|11 בינואר|7639||1
רוי:דרום אקעאן|האוקיינוס הדרומי|7642||
"רוי:ה'תש""ד"|"ה'תש""ד"|7643||1
רוי:שרויף|בורג|7643||
רוי:23סטן יאנואר|23 בינואר|7645||1
רוי:וויסן-שטיין|אבן החכמים|7646||
רוי:צאינה וראינה|צאינה וראינה|7647||
רוי:אפעראציע (מאטעמאטיק)|פעולה (מתמטיקה)|7649||
רוי:נאבעליום|נובליום|7649||
רוי:שמואל האלפערט|שמואל הלפרט|7650||
רוי:סינטיא אזיק|סינתיה אוזיק|7651||
רוי:פאריזער קלוב|מועדון פריז|7651||
רוי:אינזשעניר|מהנדס|7652||
רוי:שבע קהילות|שבע קהילות|7652||
רוי:יוסטיץ|צדק (מוסר)|7653||
רוי:מיטאלאגיע|מיתולוגיה|7654||
רוי:נאטינגהאם|נוטינגהאם|7654||
"רוי:ה'תש""ג"|"ה'תש""ג"|7656||1
רוי:עליאט שפיצער|אליוט ספיצר|7666||
רוי:רבי אברהם סבע|אברהם סבע|7666||
רוי:24סטן אקטאבער|24 באוקטובר|7667||1
רוי:ערשטע הילף|עזרה ראשונה|7668||
רוי:אולאן באטאר|אולן בטור|7669||
רוי:נחמה בידרמן|נחמה בידרמן|7669||
רוי:אוב|סיאנס|7681||
רוי:23סטן מערץ|23 במרץ|7682||1
רוי:דארהאם|דרהאם (אנגליה)|7682||
רוי:30סטן יולי|30 ביולי|7684||1
רוי:האניג בין|דבורת הדבש (סוג)|7684||
רוי:גניבה|גנבה|7685||
רוי:מסכת עירובין|מסכת עירובין|7686||
רוי:יידישער ביכער-צענטער|המרכז לספרי יידיש|7687||
רוי:ניקל|ניקל|7687||
רוי:קרית מאטערסדארף|קריית מטרסדורף|7687||
רוי:18טן אקטאבער|18 באוקטובר|7688||1
רוי:שומרונים מוזעאום|מוזיאון השומרונים - גריזים|7688||
רוי:פייכטקייט|לחות|7692||
רוי:25סטן פעברואר|25 בפברואר|7693||1
רוי:רבי נסים כדורי חזן|נסים כדורי חזן|7696||
רוי:זשאני וואקער|ג'וני ווקר|7697||
רוי:טומטום|טומטום ואנדרוגינוס|7697||
רוי:עריק ראבערטס|אריק רוברטס|7698|1|
רוי:איינגאס פון מעקסיקע|מפרץ מקסיקו|7700||
רוי:לינזן|עדשה תרבותית|7701||
רוי:עמרי שרון|עמרי שרון|7705||
רוי:מאנטיס|גמלי שלמה|7707||
רוי:אקספארדשיר|אוקספורדשייר|7708||
רוי:2טן אויגוסט|2 באוגוסט|7712||1
רוי:באלמאז אויוואראש|בלמזויווארוש|7713||
רוי:רבי אברהם צבי קאמאי|אברהם צבי קמאי|7713||
רוי:דיאלעקט|ניב (סיווג שפה)|7716||
רוי:שמעקן|חוש הריח|7723||
רוי:10טן פעברואר|10 בפברואר|7724||1
רוי:רענטגען שטראלן|קרני רנטגן|7725||
רוי:בינג קראזבי|בינג קרוסבי|7726|1|
רוי:פאשקעוויל|פשקוויל|7727||
רוי:רבי מאיר ראזנבוים (בני ברק)|מאיר רוזנבוים (פרמישלאן)|7729||
רוי:רבי נתנאל ווייל|נתנאל וייל|7729||
רוי:האלשטאט|האלשטאט|7731||
רוי:פארט|נמל|7734||
רוי:כרמיאל באן סטאנציע|תחנת הרכבת כרמיאל|7736||
רוי:ט' טבת|ט' בטבת|7739||1
רוי:8טן יאנואר|8 בינואר|7744||1
רוי:שלעכטס|רוע|7744||
רוי:קארדאבע|קורדובה (ספרד)|7745||
רוי:רבי מנחם אליעזר זאב ראזנבוים|מנחם אליעזר זאב רוזנבוים|7745||
רוי:רבי משה לייב ראבינאוויטש|משה יהודה לייב רבינוביץ|7745||
רוי:פאליטישע פארטיי|מפלגה|7751||
רוי:קאזמיר (חסידות)|חסידות קוזמיר|7751||
רוי:טעכנעטיום|טכנציום|7752||
רוי:שאבאבניקים|שבאבניקים (סדרת טלוויזיה)|7753||
רוי:וויזועלע קונסטן|אמנות חזותית|7756||
רוי:דאמפמאטאר|מנוע קיטור|7758||
רוי:זבולון קווארטין|זבולון קוורטין|7760||
רוי:משה גרילאק|משה גרילק|7763||
רוי:רבי משה סאלאווייטשיק|משה סולובייצ'יק|7763||
רוי:מסכת בבא קמא|בבא קמא|7764||
רוי:13טן מאי|13 במאי|7769||1
רוי:אדר|אדר|7769||
רוי:קרעדיט (פינאנץ)|אשראי|7769||
רוי:רבי חיים צבי טייטלבוים|חיים צבי טייטלבוים|7770||
רוי:הערי פישל|הארי פישל|7773||
רוי:קארליק-פלאנעט|כוכב לכת ננסי|7774||
רוי:קרית גת באן סטאנציע|תחנת הרכבת קריית גת|7774||
רוי:Active Directory|Active Directory|7776||
רוי:מסכת בבא מציעא|בבא מציעא|7778||
רוי:על ניניא|אל ניניו|7778||
רוי:פראווידענס|פרובידנס|7780||
רוי:טשערנאוויצער גובערניע|צ'רנוביץ (מחוז)|7781||
רוי:29סטן מערץ|29 במרץ|7787||1
רוי:טרינקוואסער|מי שתייה|7788||
רוי:26סטן אפריל|26 באפריל|7790||1
"רוי:ה'תש""ה"|"ה'תש""ה"|7792||1
רוי:אריה ווארשל|אריה ורשל|7794||
רוי:עכו באן סטאנציע|תחנת הרכבת עכו|7796||
רוי:15טן יאנואר|15 בינואר|7797||1
רוי:רבי דוד פאווארסקי|דוד פוברסקי|7801||
רוי:יבנה מזרח באן סטאנציע|תחנת הרכבת יבנה – מזרח|7804||
רוי:מאנגאליש|מונגולית|7806||
רוי:פּאַן-אייראפעישער פארבאנד|האיחוד הפאן-אירופי|7806||
רוי:סוספענדירונג|מתלה (רכב)|7807||
רוי:תענית בכורים|תענית בכורות|7807||
רוי:4טן נאוועמבער|4 בנובמבר|7812||1
רוי:שווארצע טומאה|בילה צרקווה|7816||
רוי:רבי ישראל יצחק קאליש|ישראל יצחק קאליש|7821||
רוי:אגריפראצעסארס|אגריפרוססורס|7822||
"רוי:ה'תש""ט"|"ה'תש""ט"|7827||1
רוי:דענענבורג|דאוגבפילס|7834||
רוי:דאנאלד דאק|דונלד דאק|7835||
רוי:קעניגליכע בארא פון קינגסטאן אויפן טעמז|הרובע המלכותי קינגסטון שעל התמזה|7837||
רוי:רבי דן סגל|רבי דן סגל|7837||
"רוי:מצ""ח"|משטרה צבאית חוקרת|7838||
רוי:19טן יאנואר|19 בינואר|7839||1
רוי:גוגל מאפע|גוגל מפות|7843||
רוי:קליידל|שמלה|7843||
רוי:6טן אפריל|6 באפריל|7846||1
רוי:אטאמקערן|גרעין האטום|7846||
רוי:אנרי מאטיס|אנרי מאטיס|7850|1|
רוי:באנק פון ענגלאנד|בנק אנגליה|7852||
רוי:גרויסלאנדאנער אויטאריטעט|רשות לונדון רבתי|7853||
רוי:חיים לענסקי|חיים לנסקי|7853||
רוי:עדמונד הילארי|אדמונד הילרי|7853||
רוי:מרכז שרשרת הדורות|מרכז שרשרת הדורות|7856||
רוי:זאב חפץ|זאב חפץ|7858||
רוי:יאכט|יאכטה|7859||
רוי:קיווי (פרוכט)|קיווי (פרי)|7862||
רוי:רבי אברהם קאלמאנאוויטש|אברהם קלמנוביץ|7863||
רוי:זבולון|זבולון|7865||
רוי:קלינישער טויט|מוות קליני|7873||
רוי:דניאל בערנולי|דניאל ברנולי|7875||
רוי:רבי יעקב אריה מיליקאווסקי|יעקב אריה מיליקובסקי|7875||
רוי:באר, אוקראינע|באר (אוקראינה)|7876||
רוי:מאטעסאלקע|מאטסלקה|7876||
רוי:אבדאללא, קעניג פון סאודי|עבדאללה, מלך ערב הסעודית|7878||
רוי:7טן יוני|7 ביוני|7880||1
רוי:כולל חיבת ירושלים|כולל חבת ירושלים|7880||
רוי:בארג ראריימע|הר רוריימה|7884||
רוי:זאלץ (כעמיע)|מלח (כימיה)|7884||
רוי:רבי משה יחיאל הלוי עפשטיין|משה יחיאל הלוי אפשטיין|7887||
רוי:טאמי לעהרען|טומי להרן|7889||
רוי:פרשת וירא|פרשת וירא|7889||
רוי:לאנדאנער בארא פון נייהעם|ניוהאם|7891||
רוי:16טן פעברואר|16 בפברואר|7893||1
רוי:האטליין|קו טלפון אדום|7895||
רוי:קאנסערווירונג פון ענערגיע|חוק שימור האנרגיה|7896||
רוי:דעפרעסיע|דכדוך|7897||
רוי:כאליפא בין זאיעד אל נאהיאן|ח'ליפה בן זאיד אאל נהיאן|7900||
רוי:רבי יהושע נויווירט|יהושע ישעיה נויבירט|7905||
רוי:היץ|חום (פיזיקה)|7909||
רוי:סעלעניום|סלניום|7911||
רוי:דיאלעקטיק|דיאלקטיקה|7914||
רוי:קלימאט|אקלים|7917||
רוי:ראובן אלבז|ראובן אלבז|7919||
רוי:11טן אויגוסט|11 באוגוסט|7920||1
רוי:4טן פעברואר|4 בפברואר|7921||1
רוי:דרום דיסטריקט (ישראל)|מחוז הדרום|7921||
רוי:יצחק שיינער|יצחק שיינר|7921||
רוי:מאורות|מאורות הדף היומי|7922||
רוי:בית שאן באן סטאנציע|תחנת הרכבת בית שאן|7926||
רוי:מעד|תמד|7929||
"רוי:ה'תשפ""ב"|"ה'תשפ""ב"|7932||1
רוי:וואנאדיום|ונדיום|7934||
רוי:רייען זינק|ראיין זינקי|7935||
רוי:ארכעלאאס|ארכלאוס (נשיא)|7937||
רוי:ליל ששי|ליל שישי|7938||
רוי:איך האב א חלום|יש לי חלום|7939||
רוי:אינזשעניריע|הנדסה|7941||
רוי:ירושלים דיסטריקט|מחוז ירושלים|7942||
רוי:נאציאנאלער באטאנישער גארטן|הגן הבוטני הלאומי|7944||
רוי:מסכת מועד קטן|מסכת מועד קטן|7948||
רוי:19טן יולי|19 ביולי|7949||1
רוי:3טן נאוועמבער|3 בנובמבר|7956||1
רוי:עיר פארס וואן|אייר פורס 1|7956||
רוי:22סטן יולי|22 ביולי|7959||1
רוי:קארנאטאקא|קרנאטקה|7959||
רוי:מאטעמאטיקער|מתמטיקאי|7961||
רוי:10טן סעפטעמבער|10 בספטמבר|7962||1
רוי:וואשינגטאן מאנומענט|אנדרטת וושינגטון|7964||
רוי:16טן מאי|16 במאי|7966||1
רוי:סיגעט|סיגט|7969||
רוי:באראק מוזיק|המוזיקה הקלאסית בתקופת הבארוק|7970||
רוי:פאלאנע|פולונה|7970||
רוי:באנעם|הכרה|7973||
רוי:אלמאטיע|אלמטי|7976||
רוי:לערי קינג|לארי קינג|7976||
רוי:זשורנאליזם|עיתונאות|7977||
רוי:JDN|JDN|7980||
רוי:דזשעדא|ג'דה|7983||
רוי:דוד קאזשדאן|דוד קשדן|7985||
רוי:ווארשע פאקט|ברית ורשה|7986||
רוי:אינטערנאציאנאלע דאטע ליניע|קו התאריך הבין-לאומי|7988||
רוי:27סטן סעפטעמבער|27 בספטמבר|7990||1
רוי:מוצאי שבת|מוצאי שבת|7991||
רוי:מירענדע ווארענונג|אזהרת מירנדה|7991||
רוי:10טן דעצעמבער|10 בדצמבר|7992||1
רוי:22סטן יוני|22 ביוני|7992||1
רוי:חיי עולם (ישיבה)|ישיבת חיי עולם|7993||
רוי:קאפעליטש|כובע|7993||
רוי:גלינע|הליניאני|7997||
רוי:13טן אקטאבער|13 באוקטובר|8000||1
רוי:עלעקטראנישע מוזיק|מוזיקה אלקטרונית|8000||
רוי:26סטן פעברואר|26 בפברואר|8002||1
רוי:אויגוסט 29|29 באוגוסט|8004||1
רוי:29סטן יאנואר|29 בינואר|8005||1
רוי:פראצענט|אחוז|8009||
רוי:1טן נאוועמבער|1 בנובמבר|8010||1
רוי:צאנז-קלויזענבורג (חסידות)|חסידות צאנז-קלויזנבורג|8012||
רוי:בערנארד מעדאף|ברנרד מיידוף|8014||
רוי:שלעזוויג-האלשטיין|שלזוויג-הולשטיין|8016||
רוי:עטאנאל|אתנול|8017||
רוי:יאר|שנה|8018||
רוי:עקראן|צג|8018||
רוי:קאבול|קאבול|8018||
רוי:ראדיום|רדיום|8018||
רוי:רבי יצחק יעקב ראבינאוויטש|יצחק יעקב רבינוביץ (ביאלא)|8019||
רוי:דאו דשאונס אידאסטריאלער עוורעדזש|מדד דאו ג'ונס|8022||
רוי:13טן יאנואר|13 בינואר|8024||1
רוי:סטאנלי, פאלקלאנד אינזלען|סטנלי (עיר)|8026||
רוי:14טן יאנואר|14 בינואר|8029||1
רוי:נתיבות באן סטאנציע|תחנת הרכבת נתיבות|8029||
רוי:Microsoft Word|מיקרוסופט וורד|8032||
רוי:מסכת דמאי|מסכת דמאי|8032||
רוי:אנצינדונג|דלקת|8033||
רוי:אויגוסט 20|20 באוגוסט|8034||1
רוי:ספר טוביה|ספר טוביה|8034||
רוי:ישמעאל בן נתניה|ישמעאל בן נתניה|8035||
רוי:פארפלייצונג|שיטפון|8035||
רוי:סערעט וויזשניץ (חסידות)|חסידות סרט ויז'ניץ|8049||
רוי:דזשייסן גרינבלאט|ג'ייסון דב גרינבלט|8050||
רוי:רבי יעקב ישראל טווערסקי|יעקב ישראל טברסקי|8050||
רוי:בלאזשוב (חסידות)|חסידות בלאז'וב|8052||
רוי:פאליטעיזם|פוליתאיזם|8052||
רוי:טענקסגיווינג|חג ההודיה|8054||
רוי:משמרת הצניעות|משמרת הצניעות|8054||
רוי:שלום שוואדראן|שלום שבדרון|8054||
רוי:וואלפראם|טונגסטן|8060||
רוי:רבי שלמה גאנצפריד|שלמה גאנצפריד|8061||
רוי:אלעקסאנדער ריבאק|אלכסנדר ריבאק|8063|1|
רוי:מנחם לייזער מאזעס|מנחם אליעזר מוזס|8063||
רוי:18טן פעברואר|18 בפברואר|8070||1
