ארטיקל|גרויס|ערך|גודל
רוי:שבועות|9370|שבועות|49844
רוי:יציאת מצרים|2865|יציאת מצרים|50911
רוי:אייראפע|17199|אירופה|51127
רוי:אשור|1145|אשור|51881
רוי:תלמוד ירושלמי|3337|תלמוד ירושלמי|52043
רוי:אדאלף אייכמאן|1986|אדולף אייכמן|53597
רוי:ליטעראטור|1408|ספרות|53643
רוי:ישיבה|2656|ישיבה|54076
רוי:ביאלאגיע|3883|ביולוגיה|54159
רוי:אוראלט מצרים|2708|מצרים העתיקה|55369
רוי:אידישקייט|16444|יהדות|55473
רוי:מעשה בראשית|2170|בריאת העולם|56358
רוי:אברהם אבינו|2665|אברהם אבינו|56951
רוי:וואלפגאנג אמאדעוס מאצארט|2728|וולפגנג אמדאוס מוצרט|57719
רוי:מעדיצין|7519|רפואה|58157
רוי:חשמונאים|1687|חשמונאים|59049
רוי:אסטראנאמיע|16333|אסטרונומיה|59489
רוי:ווילנער גאון|13060|הגאון מווילנה|59711
רוי:רב (אמורא)|11215|רב (אמורא)|60972
רוי:תפילין|10624|תפילין|61368
רוי:טייך|20094|נהר|62180
רוי:פסח|19239|חג הפסח|63025
רוי:קאלטער קריג|21189|המלחמה הקרה|63173
רוי:ביזאנטישע אימפעריע|18171|האימפריה הביזנטית|64728
רוי:ספירת העומר|4151|ספירת העומר|64733
"רוי:תנ""ך"|8487|"תנ""ך"|65480
רוי:געאלאגיע|2133|גאולוגיה|65721
רוי:קאפיטאליזם|3572|קפיטליזם|67273
רוי:העליקאפטער|1399|מסוק|67773
רוי:אנטיסעמיטיזם|2762|אנטישמיות|70838
רוי:לאגיק|2503|לוגיקה|71732
רוי:מאטעמאטיק|23045|מתמטיקה|71887
"רוי:""הייליגע"" רוימישע אימפעריע"|1945|"האימפריה הרומית ה""קדושה"""|72619
רוי:קאמפיוטער|2364|מחשב|72929
רוי:שבתי צבי|4474|שבתי צבי|73364
רוי:כשרות|4120|כשרות|74271
רוי:תנאים|3804|תנאים|76552
רוי:חרדים|3697|היהדות החרדית|77582
רוי:השכלה|5289|תנועת ההשכלה היהודית|80416
"רוי:רש""י"|6189|"רש""י"|83251
רוי:תשעה באב|7188|תשעה באב|83796
רוי:זון סיסטעם|20340|מערכת השמש|86429
רוי:בריטישע אימפעריע|3525|האימפריה הבריטית|89110
רוי:דוד המלך|4756|דוד המלך|89369
רוי:חסידות|15904|תנועת החסידות|89938
רוי:רבי יוחנן|926|רבי יוחנן|95732
רוי:רב סעדיה גאון|3034|רב סעדיה גאון|97442
רוי:פאלאשן|1973|ביתא ישראל|97837
"רוי:רמב""ם"|15798|"רמב""ם"|98538
רוי:רבי אלעזר מנחם מן שך|8251|רבי אלעזר מנחם מן שך|99583
רוי:אלכסנדר מוקדון|16864|אלכסנדר הגדול|102015
רוי:אדאלף היטלער|7723|אדולף היטלר|102769
"רוי:ל""ג בעומר"|2715|"ל""ג בעומר"|103560
רוי:היסטאריע פון די אידן|12548|היסטוריה של עם ישראל|103888
רוי:היסטאריע פון מדינת ישראל|8188|היסטוריה של מדינת ישראל|107045
רוי:רבי עובדיה יוסף|6540|רבי עובדיה יוסף|108311
"רוי:רמב""ן"|1243|"רמב""ן"|110669
רוי:רבי מנחם מענדל שניאורסאהן|8748|רבי מנחם מנדל שניאורסון|112844
רוי:פאראייניגטע שטאטן|52052|ארצות הברית|116490
רוי:ברית מילה|7942|ברית מילה|116891
רוי:שבת|9782|שבת|121773
רוי:אינדוסטריעלע רעוואלוציע|3968|המהפכה התעשייתית|124893
רוי:אוישוויץ|2727|אושוויץ|129467
רוי:בית המקדש|29874|בית המקדש|130495
רוי:שיף|1919|אונייה|134726
רוי:אידישער לוח|26311|הלוח העברי|141051
רוי:מענטש|744|אדם|155373
רוי:רוימישע אימפעריע|2290|האימפריה הרומית|165618
רוי:אמעריקאנער בירגערקריג|1298|מלחמת האזרחים האמריקנית|178120
רוי:ירושלים|29186|ירושלים|189607
רוי:רבי עקיבא אייגער|3078|רבי עקיבא איגר|195976
רוי:פראנצויזישע רעוואלוציע|12867|המהפכה הצרפתית|239921
