יידיש,עברית,גרויס,פארשפארט,שטאפל
רוי:רבי יעקב שלום סופר,רבי יעקב שלום סופר,3578,,
רוי:קאקאש,באבקה,3579,,
רוי:רבי משה אליקים בריעה האפשטיין,משה אליקים בריעה הופשטיין,3579,,
רוי:רבי שמעון נתן נטע בידערמאן (קראקע),שמעון נתן נטע בידרמן (הראשון),3579,,
רוי:העלפאנד,פיל,3584,,
רוי:פרעה,פרעה,3584,,
רוי:רבי ישראל אברהם פון טשערנאסטראה,ישראל אברהם מזל,3598,,
רוי:ספאגעטי קירבעס,דלעת הספגטי,3609,,
רוי:חנמאל המצרי,חנמאל המצרי,3617,,
רוי:שינאווא,שיניאווה,3619,,
רוי:סעודה,סעודת מצווה,3624,,
רוי:חם,חם בן נח,3633,,
רוי:ריבניץ,ריבניצה,3634,,
רוי:שפאלע,שפולה,3635,,
רוי:רבי אהרן טווערסקי פון טשערנאביל,אהרן טברסקי,3637,,
"רוי:ד""ה",דיבור המתחיל,3641,,
רוי:אבי עזרי,אבי עזרי,3645,,
רוי:סאדיגורא,סדיגורה,3650,,
רוי:מסכת כלאים,מסכת כלאיים,3653,,
רוי:שמאלץ,שמאלץ,3658,,
רוי:מסכת כריתות,מסכת כריתות,3682,,
רוי:קארפאטן בערג,הרי הקרפטים,3684,,
רוי:אבא שאול,אבא שאול,3686,,
רוי:רבי מיאשא,רבי מיאשא,3690,,
רוי:מסכת פרה,מסכת פרה,3698,,
רוי:רבי שמואל ראזנבערג,שמואל רוזנברג,3699,,
רוי:מנחה גדולה,מנחה גדולה,3709,,
רוי:רבי שרגא פייוול דאנציגער,שרגא פייבל דנציגר,3709,,
רוי:רבי אהרן אריה לייב פון פרעמישלאן,אהרן אריה לייב מפרמישלאן,3723,,
רוי:רבי יצחק מאיר העשל (זשינקאוו),יצחק מאיר השיל (ז'ינקוב),3723,,
רוי:רבי אלכסנדר סענדער אייכנשטיין,רבי אלכסנדר סנדר אייכנשטיין,3731,,
רוי:ראצפערט,אויפהרטו,3734,,
רוי:רבי דוד פרידמאן (פלויעשט),דוד פרידמן (פלוישט),3739,,
רוי:רעטעך,צנון,3746,,
רוי:רבי אברהם יהושע העשל (טארניפאל),"אברהם יהושע השיל (מז'יבוז', השני)",3776,,
רוי:רבי אהרן פרידמאן (סאדיגורא),אהרן פרידמן (סדיגורה),3788,,
רוי:ראגאטשאוו,רהצ'וב,3803,,
רוי:רבי אברהם שלום האלבערשטאם,אברהם שלום הלברשטאם,3811,,
רוי:רבי ישעיה נפתלי הירץ שפירא,ישעיה נפתלי הירץ שפירא,3828,,
רוי:טעפליק,טפליק,3840,,
רוי:נתאי הארבלי,נתאי הארבלי,3848,,
רוי:רבי דוד האגער,דוד הגר (זבלטוב),3913,,
רוי:מלכה רוקח,מלכה רוקח,3928,,
רוי:סטאמפארד היל,סטמפורד היל,3928,,
רוי:תשרי,תשרי,3957,,
רוי:טאבאק,טבק (חומר גלם),3958,,
רוי:רבי שלמה שפירא,שלמה שפירא (מונקאטש),3964,,
